"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush publisher display ads"
"1";"https://penntoday.upenn.edu/news/pennovation-center-five-years-innovation";"38,900";"131";"1749095";"1"
"2";"https://penntoday.upenn.edu/news/record-breaking-year-penn-center-for-innovation";"38,900";"54";"1749095";"1"
"3";"https://pci.upenn.edu/sensor-innovation-moves-forward-to-development/";"1,260";"wait...";"2313";"1"
"4";"https://pci.upenn.edu/the-energy-innovation-lab-is-now-accepting-applications/";"1,260";"wait...";"2313";"1"
"5";"https://mackinstitute.wharton.upenn.edu/category/mack-institute-research/white-paper/";"3,080";"wait...";"14074";"1"
"6";"https://mackinstitute.wharton.upenn.edu/tag/innovation/";"3,080";"wait...";"14074";"1"
"7";"https://www.nursing.upenn.edu/live/news/1523-new-online-curriculum-equips-nurses-to-lead";"6,750";"wait...";"126006";"1"
"8";"https://knowledge.wharton.upenn.edu/article/reverse-innovation-ge-makes-india-a-lab-for-global-markets/";"16,200";"wait...";"774552";"1"
"9";"https://scholarship.law.upenn.edu/faculty_scholarship/1832/";"69,300";"wait...";"1036442";"1"
"10";"https://knowledge.wharton.upenn.edu/article/brainstorming-right-way-innovation/";"16,200";"wait...";"774552";"1"
"11";"https://mackinstitute.wharton.upenn.edu/2021/understanding-the-relationship-between-divestitures-and-innovation/";"3,080";"wait...";"14074";"1"
"12";"https://knowledge.wharton.upenn.edu/article/the-cfo-imperative-leveraging-the-cloud-for-business-innovation-and-growth/";"16,200";"wait...";"774552";"1"
"13";"https://knowledge.wharton.upenn.edu/article/innovation-creating-long-term-value-in-new-business-models-and-technology/";"16,200";"wait...";"774552";"1"
"14";"https://pci.upenn.edu/innovation-from-healthcare-frontiers-of-healthcare-penn-case-study/?utm_source=rss&utm_medium=rss&utm_campaign=innovation-from-healthcare-frontiers-of-healthcare-penn-case-study";"1,260";"wait...";"2313";"1"
"15";"https://penntoday.upenn.edu/news/new-campus-buildings-house-centers-innovation-and-collaboration";"38,900";"wait...";"1749095";"1"
"16";"https://mackinstitute.wharton.upenn.edu/tag/innovation-culture/";"3,080";"wait...";"14074";"1"
"17";"https://knowledge.wharton.upenn.edu/article/microsofts-ceo-on-how-empathy-sparks-innovation/";"16,200";"wait...";"774552";"1"
"18";"https://pci.upenn.edu/coi-2020/";"1,260";"wait...";"2313";"1"
"19";"https://www.nursing.upenn.edu/live/files/990-unleashing-nurse-led-innovation";"6,750";"wait...";"126006";"1"
"20";"https://penntoday.upenn.edu/news/ecosystem-innovation";"38,900";"wait...";"1749095";"1"
"21";"https://knowledge.wharton.upenn.edu/article/a-world-transformed-what-are-the-top-30-innovations-of-the-last-30-years/";"16,200";"wait...";"774552";"1"
"22";"https://knowledge.wharton.upenn.edu/article/how-gono-go-thinking-can-stop-innovation-dead-in-its-tracks/";"16,200";"wait...";"774552";"1"
"23";"https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2012/12/Innovation-through-Co-Creation_Full-Conference-Summary.pdf";"3,080";"wait...";"14074";"1"
"24";"https://penntoday.upenn.edu/subtopic/innovation?page=5";"38,900";"wait...";"1749095";"1"
"25";"https://knowledge.wharton.upenn.edu/article/how-to-avoid-the-pitfalls-of-emerging-market-innovation/";"16,200";"wait...";"774552";"1"
"26";"https://online.wharton.upenn.edu/blog/7-ways-the-coronavirus-has-accelerated-digital-innovation-adoption/";"234";"wait...";"wait...";"1"
"27";"https://globalyouth.wharton.upenn.edu/glossary/innovation/";"2,730";"wait...";"32705";"1"
"28";"https://knowledge.wharton.upenn.edu/article/innovation-in-italy-a-new-renaissance-in-the-works/";"16,200";"wait...";"774552";"1"
"29";"https://repository.upenn.edu/wharton_research_scholars/194/";"167,000";"wait...";"1842900";"1"
"30";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2017/03/need-more-innovation/";"2,010";"wait...";"48061";"1"
"31";"https://mackinstitute.wharton.upenn.edu/2018/grow-faster-by-changing-your-innovation-narrative/";"3,080";"wait...";"14074";"1"
"32";"https://repository.upenn.edu/cgi/viewcontent.cgi?article=1077&context=joseph_wharton_scholars";"167,000";"wait...";"1842900";"1"
"33";"https://research.upenn.edu/founded-on-an-ecosystem-of-innovation-video/";"377";"wait...";"wait...";"1"
"34";"https://www.dental.upenn.edu/news-events/2022/05/02/center-for-innovation-precision-dentistry-welcomes-inaugural-class-to-training-program/";"2,770";"wait...";"60481";"1"
"35";"https://pci.upenn.edu/b-phl-recap/";"1,260";"wait...";"2313";"1"
"36";"https://knowledge.wharton.upenn.edu/article/the-innovation-through-acquisition-strategy-why-the-pay-off-isnt-always-there-2/";"16,200";"wait...";"774552";"1"
"37";"https://repository.upenn.edu/pennwhartonppi_bschool/10/";"167,000";"wait...";"1842900";"1"
"38";"https://penntoday.upenn.edu/news/innovation-cellicon-valley-penn-center";"38,900";"wait...";"1749095";"1"
"39";"https://mackinstitute.wharton.upenn.edu/2020/innovation-pathways-rahul-sharma/";"3,080";"0";"14074";"1"
"40";"https://www.nursing.upenn.edu/live/news/1303-leary-appointed-penn-nursings-first-director-of";"6,750";"1";"126006";"1"
"41";"https://repository.upenn.edu/joseph_wharton_scholars/66/";"167,000";"0";"1842900";"1"
