"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush publisher display ads"
"24";"https://undergrad-inside.wharton.upenn.edu/technology-innovation-analytics/";"366";"19";"3637";"1"
"25";"https://mackinstitute.wharton.upenn.edu/2021/innovation-strategy-during-times-of-crisis/";"3,080";"14";"14074";"1"
"26";"https://www.nursing.upenn.edu/innovation/design-thinking-for-health/";"6,750";"78";"126006";"1"
"27";"https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2012/12/Learning-from-Failure_Full-Conference-Summary_Mack-Center.pdf";"3,080";"46";"14074";"1"
"28";"https://knowledge.wharton.upenn.edu/article/time-rethink-innovate/";"16,200";"485";"774552";"1"
"29";"https://www.collegehouses.upenn.edu/life/programs/health-care-innovation-getting-better-health";"566";"1";"2117";"1"
"30";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2019/01/innovation-for-health-care-leaders/";"2,010";"2";"48061";"1"
"31";"https://accelerationlab.upenn.edu/innovation-accelerator-program";"119";"37";"453";"1"
"32";"https://mackinstitute.wharton.upenn.edu/";"3,080";"7512";"14074";"1"
"33";"https://knowledge.wharton.upenn.edu/article/pandemic-productivity-is-up-why-is-innovation-slowing-down/";"16,200";"292";"774552";"1"
"34";"https://www.law.upenn.edu/institutes/ctic/jli/";"17,200";"6";"269865";"1"
"35";"https://wsp.wharton.upenn.edu/book/innovation-prowess/";"430";"7";"18074";"1"
"36";"https://www.elp.upenn.edu/english-leadership-and-innovation";"466";"4";"2039";"1"
"37";"https://knowledge.wharton.upenn.edu/article/pandemic-turbo-charging-government-innovation-will-stick/";"16,200";"617";"774552";"1"
"38";"https://curf.upenn.edu/prizes/presidents-innovation-prize";"7,920";"0";"306";"1"
"39";"https://pennpip.upenn.edu/";"13";"88";"188";"1"
"40";"https://healthcareinnovation.upenn.edu/soi";"232";"12";"1395";"1"
"41";"https://knowledge.wharton.upenn.edu/article/how-big-companies-can-innovate-like-small-startups/";"16,200";"61";"774552";"1"
"42";"https://mackinstitute.wharton.upenn.edu/students/collaborative-innovation-program/";"3,080";"21";"14074";"1"
"43";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2016/04/everyones-an-innovator/";"2,010";"0";"48061";"1"
"44";"https://www.collegehouses.upenn.edu/life/programs/research-innovation-and-entrepreneurship";"566";"0";"2117";"1"
"45";"https://pci.upenn.edu/about/who-we-are/";"1,260";"57";"2313";"1"
"46";"https://www.wharton.upenn.edu/entrepreneurship-and-innovation/";"1,320";"146";"1079983";"1"
"47";"https://penntoday.upenn.edu/spotlights/culture-and-ecosystem-innovation";"38,900";"1";"1749095";"1"
"48";"https://healthcareinnovation.upenn.edu/people";"232";"25";"1395";"1"
"49";"https://mackinstitute.wharton.upenn.edu/events-and-programs/wharton-innovation-doctoral-symposium/";"3,080";"47";"14074";"1"
"50";"https://www.dental.upenn.edu/research/center-for-innovation-precision-dentistry/";"2,770";"87";"60481";"1"
"51";"https://venturelab.upenn.edu/innovation-fund";"275";"21";"694";"1"
"52";"https://www.gse.upenn.edu/academics/professional-development-continuing-education/education-entrepreneurship-innovation-certificate";"6,210";"18";"118312";"1"
"53";"https://pci.upenn.edu/event/phl-innovation-picnic-2022/";"1,260";"1";"2313";"1"
"54";"https://www.gse.upenn.edu/support/strengths/innovation-impact";"6,210";"0";"118312";"1"
"55";"https://mackinstitute.wharton.upenn.edu/events-and-programs/wharton-technology-and-innovation-conference/";"3,080";"28";"14074";"1"
"56";"https://catalog.upenn.edu/undergraduate/programs/entrepreneurship-innovation-bs/";"7,780";"23";"41835";"1"
"57";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2019/05/grow-faster-part-1-embrace-the-right-innovation-narrative/";"2,010";"1";"48061";"1"
"58";"https://healthcareinnovation.upenn.edu/leadership/roy-rosin";"232";"41";"1395";"1"
"59";"https://mackinstitute.wharton.upenn.edu/podcast/";"3,080";"25";"14074";"1"
"60";"https://healthcareinnovation.upenn.edu/work-us";"232";"26";"1395";"1"
"61";"https://mgmt.wharton.upenn.edu/programs/mba/entrepreneurship-innovation/";"330";"228";"27061";"1"
"62";"https://gutmann-archived.president.upenn.edu/penn-compact/innovation";"187";"2";"299";"1"
"63";"https://catalog.upenn.edu/graduate/programs/health-care-innovation-mhci/";"7,780";"73";"41835";"1"
"64";"https://pvmi.wharton.upenn.edu/";"208";"508";"723";"1"
"65";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2011/03/innovation-tournaments/";"2,010";"2";"48061";"1"
"66";"https://catalog.upenn.edu/graduate/programs/entrepreneurship-innovation-mba/";"7,780";"40";"41835";"1"
"67";"https://mgmt.wharton.upenn.edu/programs/undergraduate/management-specializations/entrepreneurship-and-innovation/";"330";"32";"27061";"1"
"68";"https://www.gse.upenn.edu/explore-by-topic/education-innovation-entrepreneurship";"6,210";"14";"118312";"1"
"69";"https://mackinstitute.wharton.upenn.edu/students/innovation-management-major/";"3,080";"21";"14074";"1"
"70";"https://www.business-services.upenn.edu/services/innovation";"369";"1";"8070";"1"
"71";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/2013/01/better-innovation/";"2,010";"1";"48061";"1"
"72";"https://mackinstitute.wharton.upenn.edu/events-and-programs/pvmi/";"3,080";"81";"14074";"1"
"73";"https://www.nursing.upenn.edu/calendar/view/event/event_id/3735/view/event";"6,750";"17";"126006";"1"
"74";"https://knowledge.wharton.upenn.edu/article/why-innovation-is-tough-to-define-and-even-tougher-to-cultivate/";"16,200";"5";"774552";"1"
"75";"https://improvinghealthcare.mehp.upenn.edu/program/graduate-certificate-health-care-innovation";"154";"36";"2784";"1"
"76";"https://pathology.med.upenn.edu/news/symposium-diagnostic-and-innovation-alliances-penn-medicine";"2,490";"0";"8091";"1"
"77";"https://repository.upenn.edu/cgi/viewcontent.cgi?article=1129&context=mgmt_papers";"167,000";"30";"1842900";"1"
"78";"https://knowledge.wharton.upenn.edu/article/innovation-tournaments-succeed-others-fail/";"16,200";"21";"774552";"1"
"79";"https://catalog.upenn.edu/graduate/programs/health-care-innovation-certificate/";"7,780";"64";"41835";"1"
"80";"https://pci.upenn.edu/about/pci-fellows/";"1,260";"12";"2313";"1"
"81";"https://www.wharton.upenn.edu/topic/entrepreneurship-innovation/";"1,320";"31";"1079983";"1"
"82";"https://healthcareinnovation.upenn.edu/teams";"232";"12";"1395";"1"
"83";"https://stevenscenter.wharton.upenn.edu/about/";"31";"15";"1002";"1"
"84";"https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2012/12/The-Changing-Face-of-Innovation-Full-Conference-Summary.pdf";"3,080";"4";"14074";"1"
"85";"https://executiveeducation.wharton.upenn.edu/thought-leadership/wharton-at-work/category/innovation/";"2,010";"0";"48061";"1"
"86";"https://pci.upenn.edu/entrepreneurs/resources-and-funding/presidents-innovation-prize/";"1,260";"2";"2313";"1"
"87";"https://mackinstitute.wharton.upenn.edu/about/";"3,080";"20";"14074";"1"
"88";"https://www.gse.upenn.edu/news/category/innovation";"6,210";"1";"118312";"1"
"89";"https://venturelab.upenn.edu/food-innovation-lab";"275";"0";"694";"1"
"90";"https://executiveeducation.wharton.upenn.edu/wp-content/uploads/2018/03/1306-Find-Innovation-Success.pdf";"2,010";"4";"48061";"1"
"91";"https://ldi.upenn.edu/in-the-news/innovation-new-look";"4,970";"0";"80628";"1"
"92";"https://global.upenn.edu/perryworldhouse/global-innovation-program-postdoctoral-fellowships";"4,220";"31";"45970";"1"
"93";"https://ware.house.upenn.edu/entrepreneurship";"572";"1";"423";"1"
"94";"https://mackinstitute.wharton.upenn.edu/events-and-programs/corporate-strategy-innovation/";"3,080";"21";"14074";"1"
"95";"https://cemb.upenn.edu/programs/graduate-training/innovation-slams/";"661";"1";"46448";"1"
"96";"https://scholarship.law.upenn.edu/faculty_scholarship/1939/";"69,300";"0";"1036442";"1"
"97";"https://yourimpact.upenn.edu/incubating-innovation-and-entrepreneurship/";"33";"1";"279";"1"
"98";"https://pci.upenn.edu/event/b-phl-innovation-festival-2022/";"1,260";"1";"2313";"1"
"99";"https://pci.upenn.edu/marion-leary-speaks-on-her-innovation-focused-nursing-career/";"1,260";"1";"2313";"1"
