"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush publisher display ads"
"1";"https://www.nursing.upenn.edu/innovation/";"6,750";"1104";"126006";"1"
"2";"https://www.nursing.upenn.edu/innovation/innovation-accelerator/";"6,750";"194";"126006";"1"
"3";"https://knowledge.wharton.upenn.edu/article/business-model-innovation-matters-ever/";"16,200";"185";"774552";"1"
"4";"https://knowledge.wharton.upenn.edu/category/innovation/";"16,200";"33";"774552";"1"
"5";"https://www.med.upenn.edu/evpdean/innovation.html";"59,700";"27";"1632615";"1"
"6";"https://executiveeducation.wharton.upenn.edu/for-individuals/all-programs/mastering-innovation-strategy-process-and-tools/";"2,010";"36";"48061";"1"
"7";"https://healthcareinnovation.upenn.edu/";"232";"468";"1395";"1"
"8";"https://globalyouth.wharton.upenn.edu/programs-courses/essentials-of-innovation/";"2,730";"81";"32705";"1"
"9";"https://www.law.upenn.edu/institutes/ctic/";"17,200";"1366";"269865";"1"
"10";"https://pc3i.upenn.edu/";"714";"94";"1880";"1"
"11";"https://www.hr.upenn.edu/PennHR/penn-community/inclusion-innovation-impact";"2,930";"1";"64353";"1"
"12";"https://knowledge.wharton.upenn.edu/article/innovation-networks-looking-for-ideas-outside-the-company/";"16,200";"12";"774552";"1"
"13";"https://pci.upenn.edu/";"1,260";"414";"2313";"1"
"14";"https://mackinstitute.wharton.upenn.edu/2020/innovation-metrics-for-success-digital-era/";"3,080";"25";"14074";"1"
"15";"https://knowledge.wharton.upenn.edu/article/data-analytics-innovation/";"16,200";"345";"774552";"1"
"16";"https://stevenscenter.wharton.upenn.edu/";"31";"284";"1002";"1"
"17";"https://research.seas.upenn.edu/innovation-entrepreneurship/";"106";"14";"335";"1"
"18";"https://knowledge.wharton.upenn.edu/article/how-to-regulate-innovation-without-killing-it/";"16,200";"5";"774552";"1"
"19";"https://healthcareinnovation.upenn.edu/about";"232";"50";"1395";"1"
"20";"https://online-execed.wharton.upenn.edu/driving-strategic-innovation";"199";"4";"4967";"1"
"21";"https://improvinghealthcare.mehp.upenn.edu/program/master-health-care-innovation";"154";"106";"2784";"1"
"22";"https://mgmt.wharton.upenn.edu/programs/undergraduate/entrepreneurship-innovation-concentration/";"330";"41";"27061";"1"
"23";"https://executiveeducation.wharton.upenn.edu/for-individuals/all-programs/business-model-innovation-in-the-digital-age/";"2,010";"63";"48061";"1"
